date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:13	81403/81403	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202016%2017:20:25%20GMT	https://en.wikipedia.org/wiki/Biological_life_cycle	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Biological_life_cycle.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:13	130280/130280	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202016%2021:59:24%20GMT	https://en.wikipedia.org/wiki/Sexual_reproduction	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Sexual_reproduction.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:13	124161/124161	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2000:29:52%20GMT	https://en.wikipedia.org/wiki/Japanese_battleship_Asahi	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Japanese_battleship_Asahi.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:13	209738/209738	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2018:06:49%20GMT	https://en.wikipedia.org/wiki/Isabella_Beeton	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Isabella_Beeton.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:14	129687/129687	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2006:52:10%20GMT	https://en.wikipedia.org/wiki/Morgan_dollar	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Morgan_dollar.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:14	170107/170107	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2023:37:26%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Today%27s_featured_article/March_2016	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Wikipedia_Today's_featured_article/March_2016.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:15	29225/29225	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:52:15%20GMT	https://en.wikipedia.org/wiki/File:Aerial_Velocipede.jpg	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/File_Aerial_Velocipede.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:15	155810/155810	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:41:49%20GMT	https://en.wikipedia.org/wiki/Carl_Edgar_Myers	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Carl_Edgar_Myers.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:15	57155/57155	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2003:25:16%20GMT	https://en.wikipedia.org/wiki/The_Bookworm_(short_story)	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/The_Bookworm_(short_story).html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:16	61639/61639	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2018:53:08%20GMT	https://en.wikipedia.org/wiki/Gilda_E._Nardone	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Gilda_E.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:16	761124/761124	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2000:05:19%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Featured_articles	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Wikipedia_Featured_articles.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:16	38423/38423	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2023:37:26%20GMT	https://en.wikipedia.org/wiki/Aeluropus_lagopoides	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Aeluropus_lagopoides.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:16	129807/129807	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2000:21:59%20GMT	https://en.wikipedia.org/wiki/Seawater	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Seawater.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:17	69440/69440	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2018:53:08%20GMT	https://en.wikipedia.org/wiki/Mabel_Sine_Wadsworth	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Mabel_Sine_Wadsworth.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:17	61253/61253	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2004:08:45%20GMT	https://en.wikipedia.org/wiki/Jake_Doran	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Jake_Doran.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:18	461244/461244	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2004:09:09%20GMT	https://en.wikipedia.org/wiki/Birth_control	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Birth_control.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:18	72598/72598	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2006:52:20%20GMT	https://en.wikipedia.org/wiki/Mary_Dilys_Glynne	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Mary_Dilys_Glynne.html	(from https://en.wikipedia.org/wiki/Main_Page)
